0,REGION_ID,REGION_NAME
0,1,Europe
0,2,Americas
0,3,Asia
0,4,Middle East and Africa
0,REGION_ID,REGION_NAME
0,1,Europe
0,2,Americas
0,3,Asia
0,4,Middle East and Africa
0,REGION_ID,REGION_NAME
0,1,Europe
0,2,Americas
0,3,Asia
0,4,Middle East and Africa
0,REGION_ID,REGION_NAME
0,1,Europe
0,2,Americas
0,3,Asia
0,4,Middle East and Africa
0,REGION_ID,REGION_NAME
0,1,Europe
0,2,Americas
0,3,Asia
0,4,Middle East and Africa
0,REGION_ID,REGION_NAME
0,1,Europe
0,2,Americas
0,3,Asia
0,4,Middle East and Africa
0,REGION_ID,REGION_NAME
0,1,Europe
0,2,Americas
0,3,Asia
0,4,Middle East and Africa
0,REGION_ID,REGION_NAME
0,1,Europe
0,2,Americas
0,3,Asia
0,4,Middle East and Africa
